"Rank","Player","Country","Prize"
"153","Trina Gulliver","England","£110,815"
"154","Adam Hunt","England","£106,225"
"155","Jose de Sousa","Portugal","£105,847"
"156","Madars Razma","Latvia","£105,677"
"157","Jyhan Artut","Germany","£105,509"
"158","Simon Stevenson","England","£104,400"
"159","Martin Atkins","England","£103,725"
"160","Seigo Asada","Japan","£102,945"
"161","Ryan Meikle","England","£101,850"
"162","Pete Hudson","England","£101,070"
"163","Mark Hylton","England","£100,215"
"164","John Michael","Greece","£99,056"
"165","Jamie Harvey","Scotland","£96,931"
"166","Geert de Vos","Belgium","£95,887"
"167","Gary Mawson","USA","£95,365"
"168","Keith Deller","England","£93,033"
"169","Nigel Heydon","England","£91,470"
"170","Paul Hogan","England","£91,023"
"171","Larry Butler","USA","£90,603"
"172","Brian Woods","England","£90,245"
"173","Takehiro Suzuki","Japan","£90,067"
"174","Mark Frost","England","£89,625"
"175","Royden Lam","Hong Kong","£89,594"
"176","Scott Rand","England","£89,258"
"177","Per Laursen","Denmark","£87,471"
"178","Luke Woodhouse","England","£87,325"
"179","Christian Perez","Philippines","£87,071"
"180","Mike de Decker","Belgium","£85,482"
"181","Jarkko Komula","Finland","£84,868"
"182","Haruki Muramatsu","Japan","£83,964"
"183","Marko Kantele","Finland","£83,101"
"184","Richard Veenstra","Netherlands","£83,010"
"185","Harry Ward","England","£82,225"
"186","Tony West","England","£82,213"
"187","Mike Gregory","England","£80,561"
"188","Shayne Burgess","England","£79,319"
"189","Kim Viljanen","Finland","£76,677"
"190","Les Wallace","Scotland","£75,785"
"191","Steve Farmer","England","£75,562"
"192","Ritchie Edhouse","England","£75,395"
"193","Fallon Sherrock","England","£75,258"
"194","Wayne Warren","Wales","£74,885"
"195","Cody Harris","New Zealand","£73,915"
"196","John Magowan","Northern Ireland","£71,647"
"197","Damon Heta","Australia","£71,397"
"198","Cliff Lazarenko","England","£70,719"
"199","James Hubbard","England","£70,450"
"200","Dean Reynolds","Wales","£70,417"
"201","Nick Fullwell","England","£70,347"
"202","Berry van Peer","Netherlands","£69,813"
"203","Lionel Sams","England","£69,202"
"204","John Bowles","England","£69,075"
"205","Robert Owen","Wales","£68,800"
"206","Eric Bristow","England","£68,575"
"207","Aileen de Graaf","Netherlands","£68,300"
"208","Boris Koltsov","Russia","£66,798"
"209","Paul Williams","England","£66,236"
"210","Lorraine Winstanley","England","£63,453"
"211","Carlos Rodriguez","Spain","£62,769"
